what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1430996468417
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430996468417
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430996468417
java.vm.specification.version,sysinfo,,,"1.0",1430996468417
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430996468417
java.vm.version,sysinfo,,,"20.13-b02",1430996468417
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1430996468463
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1430996468635
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1430996469524
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1430996469914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430996480923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430996503076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1430996503076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430996508193
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1430996766644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997093688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997109616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997115934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997117806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997141109
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430997145811
error,log,,,"Problems saving workspace",1430997147480
error,log,,,"Problems occurred while trying to save the state of the workbench.",1430997147480
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1430997147668
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1430997148448
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1430997148463
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1430997148479
